API URL,Title,Name,Catalog URL,CDI Theme,Broken
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-national-land-cover-dataset-nlcd-downloadable-data-collection,USGS National Land Cover Dataset (NLCD) Downloadable Data Collection,usgs-national-land-cover-dataset-nlcd-downloadable-data-collection,https://catalog.data.gov/dataset/usgs-national-land-cover-dataset-nlcd-downloadable-data-collection,"['Ecosystem Vulnerability', 'Land Cover and Land Use']",
https://catalog.data.gov/api/3/action/package_show?id=cms-statistics-reference-booklet,CMS Statistics Reference Booklet,cms-statistics-reference-booklet,https://catalog.data.gov/dataset/cms-statistics-reference-booklet,Human Health,
https://catalog.data.gov/api/3/action/package_show?id=composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standard-r-3855f,"Composition of Foods Raw, Processed, Prepared USDA National Nutrient Database for Standard Reference, Release 28",composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standard-r-3855f,https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standard-r-3855f,"['Food Safety and Nutrition', 'Food Resilience']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-water-quality-data-for-the-nation-national-water-information-system-nwis,USGS Water-Quality Data for the Nation - National Water Information System (NWIS),usgs-water-quality-data-for-the-nation-national-water-information-system-nwis,https://catalog.data.gov/dataset/usgs-water-quality-data-for-the-nation-national-water-information-system-nwis,"['Permafrost and Arctic Landscapes', 'Arctic', 'Atmospheric, Earth and Ocean Sciences', 'Human Health', 'Ecosystem Vulnerability', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=protected-areas-database-of-the-united-states-pad-us,Protected Areas Database of the United States (PAD-US),protected-areas-database-of-the-united-states-pad-us,https://catalog.data.gov/dataset/protected-areas-database-of-the-united-states-pad-us,"['Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=biodiversity-information-serving-our-nation-bison,Biodiversity Information Serving Our Nation (BISON),biodiversity-information-serving-our-nation-bison,https://catalog.data.gov/dataset/biodiversity-information-serving-our-nation-bison,"['Arctic', 'Permafrost and Arctic Landscapes', 'Arctic Peoples and Ecosystems', 'Ecosystem Vulnerability', 'Biodiversity']",
https://catalog.data.gov/api/3/action/package_show?id=national-wetlands-inventory-wetlands,National Wetlands Inventory - Wetlands,national-wetlands-inventory-wetlands,https://catalog.data.gov/dataset/national-wetlands-inventory-wetlands,"['Arctic', 'Arctic Ocean, Sea Ice and Coasts', 'Ecosystem Vulnerability', 'Biodiversity', 'Land Cover and Land Use', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=usgs-2010-gap-landcover,USGS 2010 GAP Landcover,usgs-2010-gap-landcover,https://catalog.data.gov/dataset/usgs-2010-gap-landcover,"['Arctic', 'Arctic Weather and Extreme Events', 'Arctic Peoples and Ecosystems', 'Transportation', 'Physical Data']",
BROKEN: https://catalog.data.gov/api/3/action/package_show?id=usgs-groundwater-data-for-the-nation-national-water-information-system-nwis,USGS Groundwater Data for the Nation - National Water Information System (NWIS),usgs-groundwater-data-for-the-nation-national-water-information-system-nwis,https://catalog.data.gov/dataset/usgs-groundwater-data-for-the-nation-national-water-information-system-nwis,"['Permafrost and Arctic Landscapes', 'Arctic', 'Atmospheric, Earth and Ocean Sciences', 'Ecosystem Vulnerability', 'Water']",
https://catalog.data.gov/api/3/action/package_show?id=atlantic-offshore-seabird-dataset-catalog,Atlantic Offshore Seabird Dataset Catalog,atlantic-offshore-seabird-dataset-catalog,https://catalog.data.gov/dataset/atlantic-offshore-seabird-dataset-catalog,"['Biodiversity', 'Ecosystem Vulnerability']",
